# moonshot:max_positions=5
序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
1,WAXPUSDT,161.1,473.2,297.6,1.590,,,,-0.3211,2026-03-20 00:00,0.007038000000,2026-03-20,2026-03-20 01:00:00,2026-03-20 01:00:00,,0.007120000000,1.17%,2026-03-20,2026-03-20 11:00:00,0.008259200000,10.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,9518.70,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.007255,1.90%,1.63%,0.007901,10.97%,1.63%,0.007594,,1.63%,6.94%,1.63%,7.71%,,,,,,,,,
2,ZETAUSDT,65.8,41.6,96.2,0.432,,,,0.2485,2026-03-20 01:00,0.054700,2026-03-20,2026-03-20 02:00:00,2026-03-20 02:00:00,,0.053900,-1.46%,2026-03-20,2026-03-20 14:00:00,0.059110,12.0,-9.67%,0.6000,,0.6580,1.2580,-289.98,-291.24,-291.24,-291.24,9227.46,是,中（改成20%）,弱（12%）,early_stop_loss_12h,数据缺失,3.0,1000.00,否,,,0.056780,5.34%,1.24%,0.059110,9.67%,1.24%,0.055040,,1.24%,3.60%,1.24%,7.44%,,,,,,,,,
3,PHAUSDT,38.1,13.6,15.8,0.861,,,,0.0973,2026-03-20 02:00,0.041930,2026-03-20,2026-03-20 03:00:00,2026-03-20 03:00:00,,0.041680,-0.60%,2026-03-20,2026-03-20 16:00:00,0.037512,13.0,10.00%,0.6000,,0.5400,1.1400,300.00,298.86,298.86,298.86,9526.32,否,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.041760,0.19%,2.86%,0.039700,-4.75%,10.22%,0.039050,,10.46%,12.86%,10.46%,4.56%,,10.0%,,,,,,,
4,GTCUSDT,39.8,152.5,438.4,0.348,,,,2.0664,2026-03-20 03:00,0.090000,2026-03-20,2026-03-20 04:00:00,2026-03-20 04:00:00,,0.088000,-2.22%,2026-03-21,2026-03-21 23:00:00,0.078320,43.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,9855.19,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.084000,-4.55%,6.82%,0.085000,-3.41%,6.82%,0.082000,-6.82%,6.82%,11.36%,11.36%,10.23%,,11.0%,,,,,,,
5,PLAYUSDT,45.4,92.9,111.6,0.832,,,,0.1097,2026-03-20 09:00,0.037550,2026-03-20,2026-03-20 10:00:00,2026-03-20 10:00:00,,0.036760,-2.10%,2026-03-20,2026-03-20 10:30:00,0.032349,0.5,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,10214.06,否,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.031170,-15.21%,19.56%,0.036620,-0.38%,19.56%,0.037840,,19.56%,19.56%,19.56%,4.68%,,,,,,,,,
6,FLUIDUSDT,72.8,69.4,140.4,0.494,,,,0.1485,2026-03-21 00:00,2.331000,2026-03-21,2026-03-21 01:00:00,2026-03-21 01:00:00,,2.342000,0.47%,2026-03-22,2026-03-22 11:00:00,2.107800,34.0,10.00%,0.6000,,0.5400,1.1400,300.00,298.86,298.86,298.86,10512.92,否,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,2.337000,-0.21%,2.01%,2.357000,0.64%,2.01%,2.260000,-3.50%,4.91%,23.31%,11.53%,0.17%,,10.0%,,,,,,,
7,ORDERUSDT,122.8,17.2,13.7,1.250,,,,-0.0605,2026-03-21 10:00,0.054800,2026-03-21,2026-03-21 11:00:00,2026-03-21 11:00:00,,0.055080,0.51%,2026-03-24,2026-03-24 11:00:00,0.056280,72.0,-2.18%,0.6000,,0.6131,1.2131,-65.36,-66.57,-66.57,-66.57,10446.35,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.055220,0.25%,0.64%,0.055890,1.47%,0.64%,0.059790,8.55%,2.89%,2.89%,2.89%,1.33%,,,,,,,,,
8,LAUSDT,32.5,10.1,8.3,1.225,,,,0.1057,2026-03-21 11:00,0.233200,2026-03-21,2026-03-21 12:00:00,2026-03-21 12:00:00,,0.227200,-2.57%,2026-03-24,2026-03-24 04:00:00,0.202208,64.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,10775.22,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.231600,1.94%,5.24%,0.220500,-2.95%,5.24%,0.215200,-5.28%,7.35%,11.75%,11.36%,2.77%,,11.0%,,,,,,,
9,FOLKSUSDT,39.0,18.3,14.0,1.311,,,,0.0296,2026-03-21 12:00,1.128000,2026-03-21,2026-03-21 13:00:00,2026-03-21 13:00:00,,1.133000,0.44%,2026-03-21,2026-03-21 14:00:00,0.997040,1.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,11134.09,是,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,1.008000,-11.03%,12.27%,1.091000,-3.71%,12.27%,1.150000,,12.27%,12.27%,12.27%,4.77%,,12.0%,,,,,,,
10,SPELLUSDT,38.3,28.2,17.0,1.662,,,,-0.2629,2026-03-21 13:00,0.000176600000,2026-03-21,2026-03-21 14:00:00,2026-03-21 14:00:00,,0.000177700000,0.62%,2026-03-24,2026-03-24 14:00:00,0.000170400000,72.0,4.11%,0.6000,,0.5754,1.1754,123.24,122.07,122.07,122.07,11256.15,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.000177,-0.28%,1.07%,0.000170,-4.28%,5.29%,0.000171,-3.83%,5.29%,8.50%,8.50%,1.01%,,,,,,,,,
